"category_name_en","avg_order_value"
"computers","1290.11"
"small_appliances_home_oven_and_coffee","683.97"
"home_appliances_2","520.74"
"agro_industry_and_commerce","430.53"
"musical_instruments","330.91"
"small_appliances","325.30"
"portable_kitchen_and_food_preparers","325.23"
"fixed_telephony","282.15"
"construction_tools_safety","267.32"
"office_furniture","267.31"
"furniture_bedroom","259.77"
"air_conditioning","243.31"
"kitchen_dining_laundry_garden_furniture","236.82"
"watches_gifts","230.11"
"construction_tools_construction","220.63"
"furniture_living_room","205.42"
"pc_gamer","204.30"
"signaling_and_security","201.40"
"industry_commerce_and_business","197.94"
"home_construction","196.73"
"construction_tools_lights","196.06"
"cool_stuff","194.35"
"costruction_tools_tools","184.89"
"la_cuisine","183.73"
"music","176.97"
"auto","175.72"
"home_confort","169.49"
"luggage_accessories","165.63"
"baby","165.52"
"garden_tools","164.49"
"consoles_games","164.14"
"health_beauty","163.30"
"security_and_services","162.26"
"audio","161.65"
"furniture_mattress_and_upholstery","159.59"
"costruction_tools_garden","159.39"
"computers_accessories","158.16"
"sports_leisure","148.50"
"pet_shop","148.47"
"toys","143.80"
"perfumery","143.61"
"unknown","142.98"
"art","140.95"
"furniture_decor","139.58"
"party_supplies","139.09"
"bed_bath_table","132.10"
"housewares","132.06"
"cine_photo","125.43"
"home_appliances","124.90"
"market_place","120.86"
"stationery","119.07"
"fashion_shoes","118.36"
"fashion_male_clothing","118.07"
"tablets_printing_image","110.82"
"books_general_interest","109.35"
"dvds_blu_ray","103.03"
"books_imported","103.02"
"fashion_sport","102.21"
"fashion_bags_accessories","98.84"
"christmas_supplies","95.43"
"fashion_underwear_beach","95.38"
"arts_and_craftmanship","94.96"
"drinks","93.98"
"telephony","92.65"
"books_technical","89.46"
"fashio_female_clothing","89.40"
"food_drink","87.50"
"fashion_childrens_clothes","85.52"
"diapers_and_hygiene","81.85"
"food","81.17"
"electronics","79.75"
"cds_dvds_musicals","79.58"
"flowers","55.13"
"home_comfort_2","48.77"
