"year","month_name","month_number","revenue"
"2017","Jan","1","38697.02"
"2018","Jan","1","993201.05"
"2017","Feb","2","228077.41"
"2018","Feb","2","874903.26"
"2017","Mar","3","387208.44"
"2018","Mar","3","1043575.50"
"2017","Apr","4","307684.28"
"2018","Apr","4","1300707.56"
"2017","May","5","600639.16"
"2018","May","5","1170436.47"
"2017","Jun","6","502044.55"
"2018","Jun","6","1171020.32"
"2017","Jul","7","531115.58"
"2018","Jul","7","947840.37"
"2017","Aug","8","627308.62"
"2018","Aug","8","1347294.08"
"2017","Sep","9","670035.60"
"2018","Sep","9","12875.18"
"2016","Oct","10","34310.74"
"2017","Oct","10","759839.35"
"2018","Oct","10","347.95"
"2016","Nov","11","11382.15"
"2017","Nov","11","754773.29"
"2016","Dec","12","960.85"
"2017","Dec","12","1102116.05"
