"category_name_en","total_revenue"
"health_beauty","1412089.53"
"watches_gifts","1264016.98"
"bed_bath_table","1224082.84"
"sports_leisure","1118062.91"
"computers_accessories","1032603.65"
"furniture_decor","880329.92"
"housewares","758392.25"
"cool_stuff","691680.89"
"auto","669319.92"
"garden_tools","567145.68"
"toys","546856.44"
"baby","464766.65"
"perfumery","443171.63"
"telephony","379202.62"
"office_furniture","335211.36"
"stationery","269575.05"
"pet_shop","250614.20"
"computers","228349.76"
"musical_instruments","202187.12"
"electronics","200723.09"
"small_appliances","198108.47"
"unknown","196884.45"
"fashion_bags_accessories","179888.29"
"luggage_accessories","168778.12"
"consoles_games","167097.73"
"construction_tools_construction","162382.01"
"home_appliances_2","118208.52"
"home_construction","95022.37"
"home_appliances","93301.78"
"furniture_living_room","85045.07"
"agro_industry_and_commerce","76203.30"
"home_confort","66438.22"
"air_conditioning","59854.55"
"fixed_telephony","59816.54"
"kitchen_dining_laundry_garden_furniture","57072.97"
"audio","56255.32"
"books_general_interest","54127.57"
"small_appliances_home_oven_and_coffee","49245.90"
"construction_tools_lights","47447.14"
"industry_commerce_and_business","45725.10"
"construction_tools_safety","42504.02"
"food","35794.68"
"market_place","33114.38"
"costruction_tools_garden","30283.94"
"fashion_shoes","27814.83"
"signaling_and_security","27792.59"
"art","27485.53"
"drinks","26971.11"
"furniture_bedroom","23379.22"
"books_technical","22901.07"
"food_drink","19337.77"
"costruction_tools_tools","17934.17"
"fashion_male_clothing","12514.95"
"christmas_supplies","11928.75"
"fashion_underwear_beach","11160.02"
"tablets_printing_image","8754.61"
"cine_photo","7902.18"
"music","6724.86"
"furniture_mattress_and_upholstery","5904.75"
"dvds_blu_ray","5769.84"
"party_supplies","5285.38"
"books_imported","5150.94"
"portable_kitchen_and_food_preparers","4228.05"
"fashio_female_clothing","3218.44"
"fashion_sport","2657.55"
"la_cuisine","2388.54"
"arts_and_craftmanship","2184.14"
"diapers_and_hygiene","2046.19"
"flowers","1598.91"
"pc_gamer","1430.10"
"home_comfort_2","1170.58"
"cds_dvds_musicals","954.99"
"fashion_childrens_clothes","598.67"
"security_and_services","324.51"
